userAgent,anomaly_score,log_total_calls,out_degree,entropy,max_call
aws-cli/2.0.46 Python/3.7.3 Linux/5.7.0-kali1-amd64 exe/x86_64.kali.2020 command/iam.get-policy-version,1.2051218,0.6931472,1.0,0.0,1.0
aws-cli/1.11.163 Python/2.7.10 Darwin/17.6.0 botocore/1.10.28,1.192673,0.6931472,1.0,0.0,1.0
aws-cli/2.0.50 Python/3.7.3 Linux/4.15.0-117-generic exe/x86_64.ubuntu.18 command/iam.get-policy-version,1.1813216,0.6931472,1.0,0.0,1.0
aws-cli/2.0.38 Python/3.7.4 Darwin/19.6.0 exe/x86_64 command/iam.get-policy-version,1.1779525,2.8332133,1.0,0.0,16.0
aws-cli/2.0.40 Python/3.8.5 Darwin/19.6.0 source/x86_64 command/iam.get-policy-version,1.1758724,0.6931472,1.0,0.0,1.0
aws-cli/1.14.30 Python/2.7.10 Darwin/17.3.0 botocore/1.8.34,1.1702017,3.8918202,2.0,0.48257756,39.0
Boto3/1.7.71 Python/3.6.5 Linux/4.15.0-1014-gcp Botocore/1.10.71,1.158265,5.2832036,12.0,2.219153,30.0
aws-cli/1.10.0 Python/2.7.10 Darwin/15.3.0 botocore/1.3.22,1.1568102,1.0986123,1.0,0.0,2.0
aws-cli/2.0.42 Python/3.7.3 Linux/5.7.0-kali1-amd64 exe/x86_64.kali.2020 command/iam.get-policy-version,1.1549329,0.6931472,1.0,0.0,1.0
aws-cli/2.0.50 Python/3.8.5 Darwin/19.6.0 source/x86_64 command/apigateway.get-stages,1.1526589,1.0986123,1.0,0.0,2.0
aws-cli/1.10.14 Python/2.7.9 Windows/7 botocore/1.4.5,1.1482813,3.4011974,9.0,1.9445328,7.0
aws-cli/2.0.49 Python/3.7.4 Darwin/19.6.0 exe/x86_64 command/iam.list-policies,1.1479808,2.8332133,1.0,0.0,16.0
aws-sdk-go/1.4.10 (go1.7.4; linux; amd64),1.1479,4.762174,33.0,3.2265818,16.0
[Boto3/1.4.5 Python/3.6.1 Windows/10 Botocore/1.5.92],1.1470987,5.855072,2.0,0.459693,288.0
Boto3/1.3.1 Python/2.7.11 Darwin/15.6.0 Botocore/1.4.36,1.1469092,3.8066626,25.0,3.0315826,6.0
support.amazonaws.com,1.1467142,7.349231,23.0,2.532657,329.0
Boto3/1.4.4 Python/2.7.12 Linux/4.4.0-31-generic Botocore/1.5.56,1.1432936,5.902633,42.0,3.4089031,28.0
aws-cli/2.0.38 Python/3.7.4 Darwin/19.6.0 exe/x86_64 command/iam.list-policies,1.136669,2.3025851,1.0,0.0,9.0
